"VOC ID"|"Original Filename"|"Flickr Image ID"|"Flickr Username"|"Real Name"
"000001"|"flickr_cat/84019097"|"84019097"|"Felix42"|"Rachel"
"000002"|"msrcorid_cars_rear view/127_2712"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000003"|"msrcorid_animals_cows_general/108_0865"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000004"|"flickr_cat/83845712"|"83845712"|"noe0712"|"noe0712"
"000005"|"flickr_horse/71816810"|"71816810"|"Jewlz"|"Jewlz"
"000006"|"s0454392/100_0764"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000007"|"msrcorid_cars_rear view/158_5882"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000008"|"flickr_horse/73938138"|"73938138"|"Sarah Eshelman"|"Sarah Eshelman"
"000009"|"flickr_cat/84222354"|"84222354"|"Torri 479"|"Torri"
"000010"|"flickr_sheep/49843498"|"49843498"|"Kevin & Kathy"|"Kevin Cornman"
"000011"|"flickr_cat/84049606"|"84049606"|"Pine Marten"|"Nigel Jones"
"000012"|"flickr_motorbike/15130400"|"15130400"|"cinciriboi"|"cinciriboi"
"000013"|"msrcorid_bicycles_side view, single/176_7601"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000014"|"flickr_dog/84012182"|"84012182"|"gummyAvenger"|"Daniel Isenhower"
"000015"|"bednar/20030523_01dx010"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000016"|"flickr_cat/83842722"|"83842722"|"Kz_"|"Kz_"
"000017"|"msrcorid_cars_side view/158_5884"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000018"|"flickr_dog/84795008"|"84795008"|"jamescronk"|"James Cronk"
"000019"|"msrcorid_animals_cows_general/108_0879"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000020"|"mvanross/dscn6640"|"n/a"|"n/a"|"Mark Van Rossum, University of Edinburgh"
"000021"|"flickr_bus/72041046"|"72041046"|"Cygnet Committee"|"Jon"
"000022"|"flickr_dog/85257776"|"85257776"|"lazmeister"|"lazmeister"
"000023"|"flickr_dog/84210179"|"84210179"|"Love Tawny,Frosty"|"Jane Mccargar"
"000024"|"sharmeli/dsc03143"|"n/a"|"n/a"|"Stefan Harmeling, University of Edinburgh"
"000025"|"msrcorid_animals_cows_single/114_1447"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000026"|"flickr_motorbike/12791429"|"12791429"|"Neogluk"|"Aris"
"000027"|"mvanross/dscn7257"|"n/a"|"n/a"|"Mark Van Rossum, University of Edinburgh"
"000028"|"flickr_motorbike/17497560"|"17497560"|"happymutant ?"|"Andrew"
"000029"|"flickr_motorbike/15423465"|"15423465"|"kiaorabro"|"Clayton Scott"
"000030"|"flickr_dog/84094455"|"84094455"|"orayzio"|"Ray Pennisi"
"000031"|"flickr_bicycle/73101110"|"73101110"|"salsaboy"|"andy carter"
"000032"|"msrcorid_animals_cows_single/114_1441"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000033"|"flickr_motorbike/27090003"|"27090003"|"frielp"|"Paul Friel"
"000034"|"s0454392/100_0543"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000035"|"flickr_cat/84188065"|"84188065"|"Heart Made of Bones"|"Summer Burton"
"000036"|"flickr_motorbike/26222064"|"26222064"|"grohlicm"|"Mat"
"000037"|"msrcorid_animals_cows_general/114_1442"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000038"|"flickr_horse/72562734"|"72562734"|"fluginsblaue"|"fluginsblaue"
"000039"|"msrcorid_bicycles_side view, single/164_6406"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000040"|"msrcorid_animals_cows_single/112_1201"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000041"|"msrcorid_cars_side view/110_1036"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000042"|"flickr_motorbike/13462996"|"13462996"|"Speedymax"|"Simon"
"000043"|"bednar/20031129_01dx001_[touch]"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000044"|"flickr_dog/83971613"|"83971613"|"LackaMunny"|"LackaMunny"
"000045"|"flickr_dog/84161264"|"84161264"|"coffeebreak"|"coffeebreak"
